epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2909,0,55.5641,0,0,0,0,0,0,92.5627,0,0.00036,0.00036,0.00036
2,65.6892,0,47.8456,0,0,0,0,0,0,83.9751,0,0.000725348,0.000725348,0.000725348
3,108.137,0,40.4234,0,0,0,0,0,0,60.6971,0,0.00107565,0.00107565,0.00107565
4,149.626,0,36.9122,0,0,0,0,0,0,51.6026,0,0.0014109,0.0014109,0.0014109
5,192.345,0,33.9755,0,0,0,0,0,0,1879.1,0,0.0017311,0.0017311,0.0017311
6,443.226,0,31.4978,0,0,0,0,0,0,41.3341,0,0.001802,0.001802,0.001802
7,483.649,0,29.3492,0,0,0,0,0,0,39.9795,0,0.0017624,0.0017624,0.0017624
8,526.201,0,27.4743,0,0,0,0,0,0,19.2704,0,0.0017228,0.0017228,0.0017228
9,568.613,0,25.7648,0,0,0,0,0,0,34.8254,0,0.0016832,0.0016832,0.0016832
10,611.055,0,23.861,0,0,0,0,0,0,32.0366,0,0.0016436,0.0016436,0.0016436
11,695.909,0,22.3695,0,0,0,0,0,0,32.7773,0,0.001604,0.001604,0.001604
12,818.484,0,21.0008,0,0,0,0,0,0,28.0568,0,0.0015644,0.0015644,0.0015644
13,853.904,0,19.7035,0,0,0,0,0,0,27.7099,0,0.0015248,0.0015248,0.0015248
14,897.186,0,18.5297,0,0,0,0,0,0,28.2578,0,0.0014852,0.0014852,0.0014852
15,941.219,0,17.4124,0,0,0,0,0,0,25.4154,0,0.0014456,0.0014456,0.0014456
16,983.036,0,16.2491,0,0,0,0,0,0,23.8238,0,0.001406,0.001406,0.001406
17,1024.32,0,15.24,0,0,0,0,0,0,21.9168,0,0.0013664,0.0013664,0.0013664
18,1066.19,0,14.2486,0,0,0,0,0,0,21.5912,0,0.0013268,0.0013268,0.0013268
19,1109.13,0,13.336,0,0,0,0,0,0,20.7252,0,0.0012872,0.0012872,0.0012872
20,1151.95,0,12.5036,0,0,0,0,0,0,18.8938,0,0.0012476,0.0012476,0.0012476
21,1194.97,0,11.7622,0,0,0,0,0,0,16.5112,0,0.001208,0.001208,0.001208
22,1238.6,0,11.0952,0,0,0,0,0,0,16.6654,0,0.0011684,0.0011684,0.0011684
23,1281.07,0,10.4424,0,0,0,0,0,0,16.0169,0,0.0011288,0.0011288,0.0011288
24,1323.74,0,9.82056,0,0,0,0,0,0,15.4177,0,0.0010892,0.0010892,0.0010892
25,1367.06,0,9.25876,0,0,0,0,0,0,14.8304,0,0.0010496,0.0010496,0.0010496
26,1412.11,0,8.70338,0,0,0,0,0,0,14.1927,0,0.00101,0.00101,0.00101
27,1469.29,0,8.22898,0,0,0,0,0,0,13.5292,0,0.0009704,0.0009704,0.0009704
28,1615.29,0,7.7841,0,0,0,0,0,0,12.435,0,0.0009308,0.0009308,0.0009308
29,1683.9,0,7.3689,0,0,0,0,0,0,11.5514,0,0.0008912,0.0008912,0.0008912
30,1729.73,0,6.98845,0,0,0,0,0,0,10.9458,0,0.0008516,0.0008516,0.0008516
31,1775.06,0,6.65679,0,0,0,0,0,0,10.3404,0,0.000812,0.000812,0.000812
32,1823,0,6.33146,0,0,0,0,0,0,9.92222,0,0.0007724,0.0007724,0.0007724
33,2405.23,0,6.04843,0,0,0,0,0,0,9.42977,0,0.0007328,0.0007328,0.0007328
34,2444.05,0,5.77507,0,0,0,0,0,0,9.09073,0,0.0006932,0.0006932,0.0006932
35,2485.02,0,5.5424,0,0,0,0,0,0,8.87029,0,0.0006536,0.0006536,0.0006536
36,2527.12,0,5.32708,0,0,0,0,0,0,8.4453,0,0.000614,0.000614,0.000614
37,2570.03,0,5.1163,0,0,0,0,0,0,8.2269,0,0.0005744,0.0005744,0.0005744
38,2614.84,0,4.93434,0,0,0,0,0,0,8.03121,0,0.0005348,0.0005348,0.0005348
39,2656.87,0,4.76729,0,0,0,0,0,0,7.57263,0,0.0004952,0.0004952,0.0004952
40,2700.12,0,4.61806,0,0,0,0,0,0,7.36246,0,0.0004556,0.0004556,0.0004556
41,2742.95,0,4.49463,0,0,0,0,0,0,7.07936,0,0.000416,0.000416,0.000416
42,2785.75,0,4.37016,0,0,0,0,0,0,6.93117,0,0.0003764,0.0003764,0.0003764
43,2828.53,0,4.27307,0,0,0,0,0,0,6.82033,0,0.0003368,0.0003368,0.0003368
44,2871.05,0,4.18582,0,0,0,0,0,0,6.6622,0,0.0002972,0.0002972,0.0002972
45,2913.58,0,4.1078,0,0,0,0,0,0,6.60286,0,0.0002576,0.0002576,0.0002576
46,2956.9,0,4.04456,0,0,0,0,0,0,6.53527,0,0.000218,0.000218,0.000218
47,2999.29,0,3.99185,0,0,0,0,0,0,6.46205,0,0.0001784,0.0001784,0.0001784
48,3043.77,0,3.94775,0,0,0,0,0,0,6.4204,0,0.0001388,0.0001388,0.0001388
49,3104.68,0,3.91809,0,0,0,0,0,0,6.37356,0,9.92e-05,9.92e-05,9.92e-05
50,3147.94,0,3.89356,0,0,0,0,0,0,6.33463,0,5.96e-05,5.96e-05,5.96e-05
