epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0635,0,107.976,0,0,0,0,0,0,196.312,0,0.00018,0.00018,0.00018
2,70.1812,0,97.9366,0,0,0,0,0,0,194.021,0,0.000372476,0.000372476,0.000372476
3,114.135,0,85.2495,0,0,0,0,0,0,178.279,0,0.000557032,0.000557032,0.000557032
4,153.083,0,75.0456,0,0,0,0,0,0,145.4,0,0.000733668,0.000733668,0.000733668
5,189.9,0,69.3934,0,0,0,0,0,0,124.062,0,0.000902384,0.000902384,0.000902384
6,236.965,0,64.4719,0,0,0,0,0,0,105.077,0,0.00106318,0.00106318,0.00106318
7,363.803,0,62.1658,0,0,0,0,0,0,78.6593,0,0.00121606,0.00121606,0.00121606
8,462.516,0,58.1233,0,0,0,0,0,0,209.441,0,0.00136101,0.00136101,0.00136101
9,587.097,0,54.358,0,0,0,0,0,0,171.836,0,0.00149805,0.00149805,0.00149805
10,714.113,0,52.2103,0,0,0,0,0,0,262.038,0,0.00162716,0.00162716,0.00162716
11,827.19,0,48.8531,0,0,0,0,0,0,244.809,0,0.001604,0.001604,0.001604
12,951.523,0,46.2542,0,0,0,0,0,0,83.3326,0,0.0015644,0.0015644,0.0015644
13,1071.99,0,43.8395,0,0,0,0,0,0,72.375,0,0.0015248,0.0015248,0.0015248
14,2426.86,0,40.8067,0,0,0,0,0,0,76.3859,0,0.0014852,0.0014852,0.0014852
15,2458.21,0,37.9062,0,0,0,0,0,0,71.6256,0,0.0014456,0.0014456,0.0014456
16,2516.23,0,35.5035,0,0,0,0,0,0,60.261,0,0.001406,0.001406,0.001406
17,2607.22,0,33.1648,0,0,0,0,0,0,79.2603,0,0.0013664,0.0013664,0.0013664
18,2652.89,0,31.5146,0,0,0,0,0,0,602.367,0,0.0013268,0.0013268,0.0013268
19,2700.72,0,29.4155,0,0,0,0,0,0,91.7874,0,0.0012872,0.0012872,0.0012872
20,2791.61,0,27.6079,0,0,0,0,0,0,56.1208,0,0.0012476,0.0012476,0.0012476
21,2842.97,0,25.8229,0,0,0,0,0,0,53.1559,0,0.001208,0.001208,0.001208
22,2914.35,0,24.1716,0,0,0,0,0,0,54.5773,0,0.0011684,0.0011684,0.0011684
23,2979.72,0,22.6786,0,0,0,0,0,0,41.0974,0,0.0011288,0.0011288,0.0011288
24,3025.17,0,21.4072,0,0,0,0,0,0,37.3393,0,0.0010892,0.0010892,0.0010892
25,3070.17,0,20.0287,0,0,0,0,0,0,35.2898,0,0.0010496,0.0010496,0.0010496
26,3114.86,0,18.8756,0,0,0,0,0,0,32.5833,0,0.00101,0.00101,0.00101
27,3162.42,0,17.7416,0,0,0,0,0,0,31.7125,0,0.0009704,0.0009704,0.0009704
28,3206.18,0,16.6744,0,0,0,0,0,0,29.6504,0,0.0009308,0.0009308,0.0009308
29,3244.22,0,15.7838,0,0,0,0,0,0,25.8272,0,0.0008912,0.0008912,0.0008912
30,3287.25,0,15.0102,0,0,0,0,0,0,25.8019,0,0.0008516,0.0008516,0.0008516
31,3329.23,0,14.0884,0,0,0,0,0,0,24.814,0,0.000812,0.000812,0.000812
32,3371.08,0,13.4262,0,0,0,0,0,0,29.8564,0,0.0007724,0.0007724,0.0007724
33,3462.61,0,12.7179,0,0,0,0,0,0,24.2785,0,0.0007328,0.0007328,0.0007328
34,3566.97,0,12.138,0,0,0,0,0,0,22.5195,0,0.0006932,0.0006932,0.0006932
35,3658.34,0,11.5612,0,0,0,0,0,0,21.9767,0,0.0006536,0.0006536,0.0006536
36,3781.1,0,11.161,0,0,0,0,0,0,20.6151,0,0.000614,0.000614,0.000614
37,3874.66,0,10.6439,0,0,0,0,0,0,36.382,0,0.0005744,0.0005744,0.0005744
38,3977.54,0,10.3027,0,0,0,0,0,0,22.5561,0,0.0005348,0.0005348,0.0005348
39,4092.51,0,9.95978,0,0,0,0,0,0,20.2105,0,0.0004952,0.0004952,0.0004952
40,4132.79,0,9.61995,0,0,0,0,0,0,17.7817,0,0.0004556,0.0004556,0.0004556
41,4218.07,0,9.33604,0,0,0,0,0,0,16.8675,0,0.000416,0.000416,0.000416
42,4354.14,0,9.07956,0,0,0,0,0,0,16.2749,0,0.0003764,0.0003764,0.0003764
43,4431.66,0,8.81619,0,0,0,0,0,0,16.0422,0,0.0003368,0.0003368,0.0003368
44,4492.52,0,8.60514,0,0,0,0,0,0,15.618,0,0.0002972,0.0002972,0.0002972
45,4640.76,0,8.43819,0,0,0,0,0,0,15.4528,0,0.0002576,0.0002576,0.0002576
46,4719.09,0,8.29969,0,0,0,0,0,0,15.2197,0,0.000218,0.000218,0.000218
47,4832.18,0,8.16828,0,0,0,0,0,0,14.869,0,0.0001784,0.0001784,0.0001784
48,4931.62,0,8.06568,0,0,0,0,0,0,14.5621,0,0.0001388,0.0001388,0.0001388
49,5065.64,0,7.99588,0,0,0,0,0,0,14.4866,0,9.92e-05,9.92e-05,9.92e-05
50,5182.31,0,7.94263,0,0,0,0,0,0,14.4581,0,5.96e-05,5.96e-05,5.96e-05
